cond	medium	cov	log2ptr	passed	growth_rate	pred_log2ptr
pileaFrag	M23	5.0000	0.5020	True	0.4770	0.5420
pileaFrag	M24	0.5000	0.0000	True	0.4648	0.6861
pileaFrag	M24	10.0000	0.6696	True	0.4648	0.6861
pileaFrag	M24	1.0000	1.2908	True	0.4648	0.6861
pileaFrag	M24	2.0000	0.9379	True	0.4648	0.6861
pileaFrag	M24	5.0000	0.5877	True	0.4648	0.6861
pileaFrag	M25	0.5000	0.0000	True	0.4346	0.6425
pileaFrag	M25	10.0000	0.6467	True	0.4346	0.6425
pileaFrag	M25	1.0000	1.1147	True	0.4346	0.6425
pileaFrag	M25	2.0000	0.9943	True	0.4346	0.6425
pileaFrag	M25	5.0000	0.7773	True	0.4346	0.6425
pileaFrag	M27	0.5000	0.0000	True	0.3992	0.5526
pileaFrag	M27	10.0000	0.5381	True	0.3992	0.5526
pileaFrag	M27	1.0000	1.2697	True	0.3992	0.5526
pileaFrag	M27	2.0000	0.9894	True	0.3992	0.5526
pileaFrag	M27	5.0000	0.5140	True	0.3992	0.5526
pileaFrag	M2	0.5000	0.0000	True	1.5100	1.6844
pileaFrag	M2	10.0000	1.6053	True	1.5100	1.6844
pileaFrag	M2	1.0000	2.0241	True	1.5100	1.6844
pileaFrag	M2	2.0000	1.9951	True	1.5100	1.6844
pileaFrag	M2	5.0000	1.6206	True	1.5100	1.6844
pileaFrag	M3	0.5000	0.0000	True	1.4380	1.4630
pileaFrag	M3	10.0000	1.4651	True	1.4380	1.4630
pileaFrag	M3	1.0000	1.9109	True	1.4380	1.4630
pileaFrag	M3	2.0000	1.7487	True	1.4380	1.4630
pileaFrag	M3	5.0000	1.5714	True	1.4380	1.4630
pileaFrag	M4	0.5000	0.0000	True	1.3718	1.5315
pileaFrag	M4	10.0000	1.3859	True	1.3718	1.5315
pileaFrag	M4	1.0000	1.7273	True	1.3718	1.5315
pileaFrag	M4	2.0000	1.7127	True	1.3718	1.5315
pileaFrag	M4	5.0000	1.5579	True	1.3718	1.5315
pileaFrag	M6	0.5000	0.0000	True	1.3549	1.3298
pileaFrag	M6	10.0000	1.2570	True	1.3549	1.3298
pileaFrag	M6	1.0000	1.7271	True	1.3549	1.3298
