arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
C_relaxed	M6	0.5000	0.0000	1.0000	True	1.3549	1.3298
C_relaxed	M6	10.0000	1.1518	7.2350	True	1.3549	1.3298
C_relaxed	M6	1.0000	1.5470	1.3977	True	1.3549	1.3298
C_relaxed	M6	2.0000	1.4398	1.9033	True	1.3549	1.3298
C_relaxed	M6	5.0000	1.4076	3.6180	True	1.3549	1.3298
C_relaxed	RUN_OUT	0.5000	0.0000	1.0000	True		
C_relaxed	RUN_OUT	10.0000	0.2306	7.5739	True		
C_relaxed	RUN_OUT	1.0000	1.1329	1.4772	True		
C_relaxed	RUN_OUT	2.0000	0.6461	2.0438	True		
C_relaxed	RUN_OUT	5.0000	0.2406	4.2000	True		
E	M10	0.5000	0.5352	0.4814	False	1.1500	1.2108
E	M10	10.0000	1.2125	7.5009	True	1.1500	1.2108
E	M10	1.0000	0.8471	0.8229	False	1.1500	1.2108
E	M10	2.0000	1.0498	1.5811	False	1.1500	1.2108
E	M10	5.0000	1.1543	3.7375	True	1.1500	1.2108
E	M12	0.5000	0.7237	0.5102	False	1.0220	1.1568
E	M12	10.0000	1.2130	7.5465	True	1.0220	1.1568
E	M12	1.0000	0.9848	0.8773	False	1.0220	1.1568
E	M12	2.0000	0.9849	1.6015	False	1.0220	1.1568
E	M12	5.0000	1.1526	3.8390	True	1.0220	1.1568
E	M13	0.5000	0.5368	0.4934	False	0.8612	1.0326
E	M13	10.0000	1.0183	7.7293	True	0.8612	1.0326
E	M13	1.0000	0.8074	0.8554	False	0.8612	1.0326
E	M13	2.0000	0.8617	1.6177	True	0.8612	1.0326
E	M13	5.0000	0.9626	3.8643	True	0.8612	1.0326
E	M17	0.5000	0.5966	0.5108	False	0.7440	0.7020
E	M17	10.0000	0.7449	8.1504	True	0.7440	0.7020
E	M17	1.0000	0.5451	0.9114	False	0.7440	0.7020
E	M17	2.0000	0.5163	1.6840	False	0.7440	0.7020
E	M17	5.0000	0.7239	4.0102	True	0.7440	0.7020
E	M18	0.5000	0.5883	0.4751	False	0.7413	0.8578
E	M18	10.0000	0.8408	7.7788	True	0.7413	0.8578
E	M18	1.0000	0.8491	0.8573	False	0.7413	0.8578
E	M18	2.0000	0.7945	1.5847	True	0.7413	0.8578
E	M18	5.0000	0.8852	3.8701	True	0.7413	0.8578
E	M19	0.5000	0.3519	0.5635	False	0.5776	0.8862
E	M19	10.0000	0.8409	6.9073	True	0.5776	0.8862
E	M19	1.0000	0.5639	0.9075	False	0.5776	0.8862
E	M19	2.0000	0.5416	1.5949	False	0.5776	0.8862
E	M19	5.0000	0.7850	3.5425	True	0.5776	0.8862
E	M1	0.5000	0.8802	0.4429	False	1.7207	1.7250
E	M1	10.0000	1.8006	7.4627	True	1.7207	1.7250
E	M1	1.0000	1.5469	0.7841	False	1.7207	1.7250
E	M1	2.0000	1.6142	1.4990	False	1.7207	1.7250
E	M1	5.0000	1.7415	3.7421	True	1.7207	1.7250
E	M22	0.5000	0.4000	0.4755	False	0.4892	0.7233
E	M22	10.0000	0.7146	7.6343	True	0.4892	0.7233
E	M22	1.0000	0.6531	0.8236	False	0.4892	0.7233
E	M22	2.0000	0.7345	1.5974	False	0.4892	0.7233
E	M22	5.0000	0.6993	3.8722	True	0.4892	0.7233
E	M23	0.5000	0.1917	0.4737	False	0.4770	0.5420
E	M23	10.0000	0.5878	7.7180	True	0.4770	0.5420
E	M23	1.0000	0.4668	0.8148	False	0.4770	0.5420
E	M23	2.0000	0.4640	1.5779	True	0.4770	0.5420
E	M23	5.0000	0.5694	3.8528	True	0.4770	0.5420
E	M24	0.5000	0.3744	0.4031	False	0.4648	0.6861
E	M24	10.0000	0.6492	7.6614	True	0.4648	0.6861
E	M24	1.0000	0.4560	0.7865	False	0.4648	0.6861
E	M24	2.0000	0.6940	1.5604	True	0.4648	0.6861
E	M24	5.0000	0.6089	3.8490	True	0.4648	0.6861
E	M25	0.5000	0.3605	0.4242	False	0.4346	0.6425
E	M25	10.0000	0.6369	7.8298	True	0.4346	0.6425
E	M25	1.0000	0.6118	0.8486	False	0.4346	0.6425
E	M25	2.0000	0.6278	1.5833	True	0.4346	0.6425
E	M25	5.0000	0.6047	3.9431	True	0.4346	0.6425
E	M27	0.5000	0.2607	0.4296	False	0.3992	0.5526
E	M27	10.0000	0.5207	7.7297	True	0.3992	0.5526
E	M27	1.0000	0.3715	0.7828	False	0.3992	0.5526
E	M27	2.0000	0.3971	1.5435	True	0.3992	0.5526
E	M27	5.0000	0.5403	3.8669	True	0.3992	0.5526
E	M2	0.5000	0.8758	0.5667	False	1.5100	1.6844
E	M2	10.0000	1.6841	7.8992	True	1.5100	1.6844
E	M2	1.0000	1.3149	0.9491	False	1.5100	1.6844
E	M2	2.0000	1.3808	1.7185	False	1.5100	1.6844
E	M2	5.0000	1.6759	4.0566	True	1.5100	1.6844
E	M3	0.5000	0.6009	0.4864	False	1.4380	1.4630
E	M3	10.0000	1.5279	7.4536	True	1.4380	1.4630
E	M3	1.0000	1.1962	0.8167	False	1.4380	1.4630
E	M3	2.0000	1.3181	1.5419	False	1.4380	1.4630
E	M3	5.0000	1.5233	3.7683	True	1.4380	1.4630
E	M4	0.5000	0.9456	0.5624	False	1.3718	1.5315
E	M4	10.0000	1.5645	7.9396	True	1.3718	1.5315
E	M4	1.0000	0.8158	0.9144	False	1.3718	1.5315
E	M4	2.0000	1.1876	1.7041	False	1.3718	1.5315
E	M4	5.0000	1.4548	4.0238	True	1.3718	1.5315
E	M6	0.5000	0.9434	0.4737	False	1.3549	1.3298
E	M6	10.0000	1.3785	7.4914	True	1.3549	1.3298
E	M6	1.0000	0.9815	0.8179	False	1.3549	1.3298
E	M6	2.0000	1.2078	1.5743	False	1.3549	1.3298
E	M6	5.0000	1.4397	3.7388	True	1.3549	1.3298
E	RUN_OUT	0.5000	0.0621	0.4634	False		
E	RUN_OUT	10.0000	0.0774	8.2547	True		
E	RUN_OUT	1.0000			False		
E	RUN_OUT	2.0000	0.0272	1.6416	False		
E	RUN_OUT	5.0000			False		
