k	medium	depth	seconds	rss_mb	log2ptr	i2	growth_rate	pred
8	M13	1	6.2	193.766	0.774063	0.413986	0.8612	1.0326
8	M13	2	7.13	198.391	0.935803	0	0.8612	1.0326
8	M13	5	7.28	186.375	1.00669	0	0.8612	1.0326
8	M17	0.5	3.92	187.891	0.517246	0.105621	0.744	0.702
8	M17	10	8.16	186.125	0.765774	0.080261	0.744	0.702
8	M17	1	6.03	175.672	0.73367	0.246031	0.744	0.702
8	M17	2	6.74	188.141	0.682359	0.772698	0.744	0.702
8	M17	5	7.77	173.531	0.679717	0.140711	0.744	0.702
8	M18	0.5	3.74	176.844	0.783766	0	0.7413	0.8578
8	M18	10	9.1	178.969	0.872143	0	0.7413	0.8578
8	M18	1	6.17	188.141	0.757146	0	0.7413	0.8578
8	M18	2	7.1	186.188	0.944087	0.245416	0.7413	0.8578
8	M18	5	7.65	197.062	0.910414	0.219418	0.7413	0.8578
8	M19	0.5	4.13	204.703	0.623716	0	0.5776	0.8862
8	M19	10	7.23	192.062	0.87574	0.615781	0.5776	0.8862
8	M19	1	6.19	189.531	0.707593	0	0.5776	0.8862
8	M19	2	6.8	176.406	0.624204	0	0.5776	0.8862
8	M19	5	6.81	191.172	0.907146	0.490827	0.5776	0.8862
8	M1	0.5	3.74	186.625	1.36056	0	1.7207	1.725
8	M1	10	9.29	190.984	1.79891	0.172267	1.7207	1.725
8	M1	1	5.51	204.781	1.62773	0.107514	1.7207	1.725
8	M1	2	6.75	175.656	1.65334	0	1.7207	1.725
8	M1	5	7.75	189.047	1.7844	0.216899	1.7207	1.725
8	M22	0.5	3.81	187.531	0.494859	0	0.4892	0.7233
8	M22	10	8.74	177.562	0.725274	0.427197	0.4892	0.7233
8	M22	1	6.09	175.062	0.565127	0	0.4892	0.7233
8	M22	2	7.09	190.422	0.699898	0.0892993	0.4892	0.7233
8	M22	5	8.12	197.781	0.69352	0.619426	0.4892	0.7233
8	M23	0.5	3.89	173.359	0.492091	0	0.477	0.542
8	M23	10	8.88	187.422	0.574756	0.465021	0.477	0.542
8	M23	1	5.95	178.953	0.482378	0	0.477	0.542
8	M23	2	6.61	193.562	0.624787	0.368739	0.477	0.542
8	M23	5	7.23	181.766	0.61345	0	0.477	0.542
8	M24	0.5	3.82	190.203	0.312162	0	0.4648	0.6861
8	M24	10	8.53	198.859	0.677399	0.236933	0.4648	0.6861
8	M24	1	5.75	190.109	0.625675	0	0.4648	0.6861
8	M24	2	6.87	173.625	0.618333	0.593805	0.4648	0.6861
8	M24	5	7.38	190.641	0.680808	0	0.4648	0.6861
8	M25	0.5	3.85	174.422	0.600802	0.149413	0.4346	0.6425
8	M25	10	8.73	175.047	0.66829	0	0.4346	0.6425
8	M25	1	5.89	174.25	0.573626	0	0.4346	0.6425
8	M25	2	6.84	190.859	0.580294	0	0.4346	0.6425
8	M25	5	7.93	175.531	0.609839	0	0.4346	0.6425
8	M27	0.5	3.63	174.609	0.328548	0	0.3992	0.5526
8	M27	10	8.81	175.172	0.545295	0	0.3992	0.5526
8	M27	1	6.04	173.281	0.445082	0	0.3992	0.5526
8	M27	2	6.81	184.531	0.451516	0.676471	0.3992	0.5526
8	M27	5	7.73	191.375	0.504935	0	0.3992	0.5526
8	M2	0.5	3.86	173.5	1.19045	0	1.51	1.6844
8	M2	10	7.26	178.828	1.97206	0	1.51	1.6844
8	M2	1	5.45	190.203	1.46205	0	1.51	1.6844
8	M2	2	6.74	174.906	1.62181	0	1.51	1.6844
8	M2	5	7.19	187.688	1.74249	0.466904	1.51	1.6844
8	M3	0.5	3.57	200.875	1.12821	0	1.438	1.463
8	M3	10	8.38	174.375	1.51042	0.670986	1.438	1.463
8	M3	1	5.69	172.141	1.3034	0	1.438	1.463
8	M3	2	6.48	174.484	1.45809	0	1.438	1.463
8	M3	5	6.96	174.844	1.55073	0.711215	1.438	1.463
8	M4	0.5	3.65	191.906	1.09568	0	1.3718	1.5315
8	M4	10	7.72	199.016	1.59078	0	1.3718	1.5315
8	M4	1	5.86	180.062	1.40593	0	1.3718	1.5315
8	M4	2	6.89	174.062	1.32933	0	1.3718	1.5315
8	M4	5	7.42	174.984	1.53111	0.167028	1.3718	1.5315
8	M6	0.5	3.85	190.906	1.16176	0	1.3549	1.3298
8	M6	10	8.63	174.875	1.28548	0.0876609	1.3549	1.3298
8	M6	1	5.96	198.5	1.19787	0	1.3549	1.3298
8	M6	2	6.66	196.594	1.30544	0	1.3549	1.3298
