instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
20260912	M23	SRR11558964	5	A	0.5549059053	4.087612024	0.4770
20260912	M23	SRR11558964	5	B	0.5944269591	4.087612024	0.4770
20260912	M23	SRR11558964	5	E	0.5428102098	3.875439523	0.4770
20260912	M23	SRR11558964	5	C_default			0.4770
20260912	M23	SRR11558964	5	C_relaxed	0.7173	4.0666	0.4770
20260912	M19	SRR11558965	5	A	0.8330546779	3.740728726	0.5776
20260912	M19	SRR11558965	5	B	0.9805730363	3.740728726	0.5776
20260912	M19	SRR11558965	5	E	0.863157142	3.54875383	0.5776
20260912	M19	SRR11558965	5	C_default			0.5776
20260912	M19	SRR11558965	5	C_relaxed	0.8974	3.5460	0.5776
20260912	M18	SRR11558969	5	A	0.8393548157	4.118136309	0.7413
20260912	M18	SRR11558969	5	B	0.8832067637	4.118136309	0.7413
20260912	M18	SRR11558969	5	E	0.833120592	3.879225086	0.7413
20260912	M18	SRR11558969	5	C_default			0.7413
20260912	M18	SRR11558969	5	C_relaxed	0.9347	3.8077	0.7413
20260912	M17	SRR11558970	5	A	0.6914022396	4.235081817	0.7440
20260912	M17	SRR11558970	5	B	0.7803417946	4.235081817	0.7440
20260912	M17	SRR11558970	5	E	0.7227440626	4.00379927	0.7440
20260912	M17	SRR11558970	5	C_default			0.7440
20260912	M17	SRR11558970	5	C_relaxed	0.9251	3.7830	0.7440
20260912	M13	SRR11558973	5	A	1.016096881	4.127893778	0.8612
20260912	M13	SRR11558973	5	B	1.073991816	4.127893778	0.8612
20260912	M13	SRR11558973	5	E	1.005061058	3.852796177	0.8612
20260912	M13	SRR11558973	5	C_default			0.8612
20260912	M13	SRR11558973	5	C_relaxed	1.1549	3.6830	0.8612
20260912	M12	SRR11558976	5	A	1.194547643	4.193058704	1.0220
20260912	M12	SRR11558976	5	B	1.263216996	4.193058704	1.0220
20260912	M12	SRR11558976	5	E	1.187903293	3.846735435	1.0220
20260912	M12	SRR11558976	5	C_default			1.0220
20260912	M12	SRR11558976	5	C_relaxed	1.2172	3.5590	1.0220
20260912	M1	SRR11558977	5	A	1.737340909	4.07866583	1.7207
20260912	M1	SRR11558977	5	B	1.776869412	4.07866583	1.7207
20260912	M1	SRR11558977	5	E	1.761089441	3.747375631	1.7207
20260912	M1	SRR11558977	5	C_default			1.7207
20260912	M1	SRR11558977	5	C_relaxed	1.7570	3.5484	1.7207
20260912	M10	SRR11558980	5	A	1.202764674	4.070823856	1.1500
20260912	M10	SRR11558980	5	B	1.204686967	4.070823856	1.1500
20260912	M10	SRR11558980	5	E	1.14611545	3.749778885	1.1500
20260912	M10	SRR11558980	5	C_default			1.1500
20260912	M10	SRR11558980	5	C_relaxed	1.2189	3.6540	1.1500
20260912	M4	SRR11558983	5	A	1.39303169	4.344323729	1.3718
20260912	M4	SRR11558983	5	B	1.483303015	4.344323729	1.3718
20260912	M4	SRR11558983	5	E	1.432026824	4.034706664	1.3718
20260912	M4	SRR11558983	5	C_default			1.3718
20260912	M4	SRR11558983	5	C_relaxed	1.4035	3.5900	1.3718
20260912	M6	SRR11558945	10	A	1.35933788	8.065352493	1.3549
20260912	M6	SRR11558945	10	B	1.324460776	8.065352493	1.3549
20260912	M6	SRR11558945	10	E	1.419148829	7.455257229	1.3549
20260912	M6	SRR11558945	10	C_default	1.1874	7.1803	1.3549
20260912	M6	SRR11558945	10	C_relaxed	1.1874	7.1803	1.3549
20260912	M3	SRR11558946	10	A	1.542624977	8.054048605	1.4380
20260912	M3	SRR11558946	10	B	1.492311131	8.054048605	1.4380
20260912	M3	SRR11558946	10	E	1.49379381	7.459699856	1.4380
20260912	M3	SRR11558946	10	C_default	1.3333	6.9259	1.4380
20260912	M3	SRR11558946	10	C_relaxed	1.3333	6.9259	1.4380
20260912	M2	SRR11558949	10	A	1.805257748	8.837573395	1.5100
20260912	M2	SRR11558949	10	B	1.942756773	8.837573395	1.5100
20260912	M2	SRR11558949	10	E	1.70430686	7.874247812	1.5100
20260912	M2	SRR11558949	10	C_default	1.3834	6.3746	1.5100
20260912	M2	SRR11558949	10	C_relaxed	1.3834	6.3746	1.5100
20260912	RUN_OUT	SRR11558950	10	A	0.06093320365	8.728797636	
20260912	RUN_OUT	SRR11558950	10	B	0.4059741895	8.75553553	
20260912	RUN_OUT	SRR11558950	10	E	0.02334838098	8.201958603	
20260912	RUN_OUT	SRR11558950	10	C_default	0.2605	7.5827	
20260912	RUN_OUT	SRR11558950	10	C_relaxed	0.2605	7.5827	
20260912	M27	SRR11558953	10	A	0.4907414914	8.163464558	0.3992
20260912	M27	SRR11558953	10	B	0.4970703029	8.163464558	0.3992
20260912	M27	SRR11558953	10	E	0.5093393138	7.689694715	0.3992
20260912	M27	SRR11558953	10	C_default	0.4450	7.7681	0.3992
20260912	M27	SRR11558953	10	C_relaxed	0.4450	7.7681	0.3992
20260912	M25	SRR11558957	10	A	0.6603859671	8.326983039	0.4346
20260912	M25	SRR11558957	10	B	0.6669278007	8.326983039	0.4346
20260912	M25	SRR11558957	10	E	0.6421939367	7.759728906	0.4346
20260912	M25	SRR11558957	10	C_default	0.6438	7.4823	0.4346
20260912	M25	SRR11558957	10	C_relaxed	0.6438	7.4823	0.4346
20260912	M24	SRR11558960	10	A	0.6440388482	8.129333627	0.4648
20260912	M24	SRR11558960	10	B	0.6445562354	8.129333627	0.4648
20260912	M24	SRR11558960	10	E	0.6712927451	7.711495991	0.4648
20260912	M24	SRR11558960	10	C_default	0.6232	7.5902	0.4648
20260912	M24	SRR11558960	10	C_relaxed	0.6232	7.5902	0.4648
20260912	M22	SRR11558963	10	A	0.7425854806	8.364604577	0.4892
20260912	M22	SRR11558963	10	B	0.7807955349	8.364604577	0.4892
20260912	M22	SRR11558963	10	E	0.7282318862	7.711686402	0.4892
20260912	M22	SRR11558963	10	C_default	0.6215	7.1885	0.4892
20260912	M22	SRR11558963	10	C_relaxed	0.6215	7.1885	0.4892
20260912	M23	SRR11558964	10	A	0.5643078046	8.15474347	0.4770
20260912	M23	SRR11558964	10	B	0.5697593451	8.15474347	0.4770
20260912	M23	SRR11558964	10	E	0.5454545527	7.74398676	0.4770
20260912	M23	SRR11558964	10	C_default	0.5144	7.5783	0.4770
20260912	M23	SRR11558964	10	C_relaxed	0.5144	7.5783	0.4770
20260912	M19	SRR11558965	10	A	0.8079111789	7.43951849	0.5776
20260912	M19	SRR11558965	10	B	1.12973113	7.43951849	0.5776
20260912	M19	SRR11558965	10	E	0.9358898633	6.915498622	0.5776
20260912	M19	SRR11558965	10	C_default	0.7343	6.4787	0.5776
20260912	M19	SRR11558965	10	C_relaxed	0.7343	6.4787	0.5776
20260912	M18	SRR11558969	10	A	0.8881765068	8.237953411	0.7413
20260912	M18	SRR11558969	10	B	0.9067728437	8.237953411	0.7413
20260912	M18	SRR11558969	10	E	0.8796479465	7.732990485	0.7413
20260912	M18	SRR11558969	10	C_default	0.7898	7.2819	0.7413
20260912	M18	SRR11558969	10	C_relaxed	0.7898	7.2819	0.7413
20260912	M17	SRR11558970	10	A	0.642873711	8.610164443	0.7440
