species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Pauljensenia_pyogenes_A	6	6	1.11170784295	0.8166830497750001	1.7692051165	2.1780306035	43.904515986499995	0.013572679510000001	9.5	396.0	0.86282585795	1.2741551704	1.11170784295	-0.16244732745			0.0	0.0002575722055493
Prevotella_histicola	8	8	1.1114206645	0.88232671705	1.4289786317500002	2.1607127779999997	6.0415285480000005	0.067948717945	24.0	578.0	0.9793948796	1.095609044	1.127232285	0.031623241000000135			0.0	0.0003982307535454
Bifidobacterium_dentium	12	12	1.108270667	0.79743001995	1.46553612175	2.157062818	11.093931014999999	0.0055883266065	11.0	1036.5	0.95944845975	1.060295749	1.156245585	0.09594983599999996	0.638888888888889	1.0	0.0	0.0008350378695843
Prevotella_jejuni	7	7	1.097380752	1.0041306547	1.7800255885	2.139658794	29.50634157	0.03206412826	14.0	538.0	0.9929684439	1.7369220479999998	1.054837454	-0.6820845939999998			0.0	0.00310546938453865
Sphingomonas_paucimobilis	22	22	1.0951626085	0.8528765326500001	1.382386602	2.136388551	9.428556318	0.0067495559505	19.0	1772.0	0.9881374871	1.235132224	0.8502305914	-0.3849016326	0.021284829721362225	0.2989010989010989	2.63153261572454e-05	0.00069206731950215
Centipeda_felix	6	6	1.0845181498	0.80460242635	1.6639985485	2.134952462	16.569020430000002	0.05095923261	24.5	2186.0	0.9921809572	2.355798285	0.9171565666	-1.4386417184			0.0	0.00096214990652245
Cardiobacterium_hominis	13	13	1.073434761	0.660147802	1.242806647	2.104437642	10.55490759	0.02930535456	33.0	1272.0	0.9910874714	1.073434761	1.00860972385	-0.06482503714999988	0.9370629370629371	1.0	0.0	0.0003354043099795
Capnocytophaga_granulosa	7	7	1.055462604	0.6937635095	1.1229287295	2.078384539	15.21208458	0.04810495627	18.0	323.0	0.92593536	2.213668858	0.9150930036	-1.2985758544000001			0.0	0.0001365521261304
Mogibacterium_diversum	9	9	1.052958252	0.8205936447	1.321520665	2.074779834	4.924725527	0.04982817869	11.0	143.0	0.9086987888	1.22616456035	1.052958252	-0.17320630834999995			0.0	0.0002204631791049
Pauljensenia_sp000278725	12	12	1.049981563	0.5040598133249999	1.4293669885	2.0706109870000002	30.150818895	0.043781725885	51.0	1238.5	0.9731814028000001	1.064689615	1.035273511	-0.029416104000000054	1.0	1.0	7.14745462160941e-05	0.00095711620248365
Sphingobium_yanoikuyae	6	6	1.0448726292	0.5808624244	1.47051304025	2.0753614705	9.884333946	0.0024305122775	9.0	638.5	0.8127492907	0.8399782732	1.4389269212	0.598948648			0.0	0.00020966122629205
Cardiobacterium_valvarum	6	6	1.0060685809	0.66743151785	1.434473508	2.0521520475	17.97068838	0.0297410776785	20.0	1979.0	0.9924406057999999		1.0060685809				0.0	6.568883687724914e-05
Actinomyces_oris_A	13	13	1.004550221	0.6942577192	1.814918018	2.006317904	69.48730154	0.04172274563	18.0	1073.0	0.9993095447	1.52328330915	1.004550221	-0.5187330881500001	0.7104895104895105	1.0	0.0	0.0004045022878991
