genome	std_log2ptr	n	mag	mean_cov	qc_rate_current	qc_any	cov_q
GCA_041399145.1_ASM4139914v1_genomic	0.3692415881582497	9	GCA_041399145.1_ASM4139914v1_genomic	2.2009639001111108	0.3333333333333333	True	Q1
GCA_041399155.1_ASM4139915v1_genomic	0.43237243384797064	9	GCA_041399155.1_ASM4139915v1_genomic	2.201973442222222	0.0	False	Q1
GCA_041399205.1_ASM4139920v1_genomic	0.434962599866495	9	GCA_041399205.1_ASM4139920v1_genomic	2.0011107932222223	0.2222222222222222	True	Q1
GCA_041401905.1_ASM4140190v1_genomic	0.24512631075401559	9	GCA_041401905.1_ASM4140190v1_genomic	2.088892093666667	0.0	False	Q1
GCA_041401925.1_ASM4140192v1_genomic	0.2712395492405139	9	GCA_041401925.1_ASM4140192v1_genomic	2.2152827763333334	0.0	False	Q1
GCA_041401945.1_ASM4140194v1_genomic	0.39383586626874434	9	GCA_041401945.1_ASM4140194v1_genomic	2.8763736723333335	0.0	False	Q3
GCA_041401965.1_ASM4140196v1_genomic	0.23923542252094895	9	GCA_041401965.1_ASM4140196v1_genomic	2.0317156162222223	0.0	False	Q1
GCA_041401985.1_ASM4140198v1_genomic	0.5903007788230126	9	GCA_041401985.1_ASM4140198v1_genomic	2.912088059888889	0.0	False	Q3
GCA_041402005.1_ASM4140200v1_genomic	0.3337619873211059	9	GCA_041402005.1_ASM4140200v1_genomic	2.194853849222222	0.0	False	Q1
GCA_041402025.1_ASM4140202v1_genomic	0.32656739593741196	9	GCA_041402025.1_ASM4140202v1_genomic	2.394017479	0.0	False	Q2
GCA_041402045.1_ASM4140204v1_genomic	0.3122057753100843	9	GCA_041402045.1_ASM4140204v1_genomic	2.2932091275555555	0.0	False	Q2
GCA_041402065.1_ASM4140206v1_genomic	0.6724067364948793	9	GCA_041402065.1_ASM4140206v1_genomic	3.764353125111111	0.0	False	Q4
GCA_041402085.1_ASM4140208v1_genomic	0.8181331976435	9	GCA_041402085.1_ASM4140208v1_genomic	4.1027027196666666	0.0	False	Q4
GCA_041402105.1_ASM4140210v1_genomic	0.5871438516890056	9	GCA_041402105.1_ASM4140210v1_genomic	2.405989243111111	0.0	False	Q2
GCA_041402125.1_ASM4140212v1_genomic	0.5294905949051927	9	GCA_041402125.1_ASM4140212v1_genomic	2.8954603602222218	0.0	False	Q3
GCA_041402145.1_ASM4140214v1_genomic	0.7757446806665689	9	GCA_041402145.1_ASM4140214v1_genomic	2.132613669222222	0.0	False	Q1
GCA_041402165.1_ASM4140216v1_genomic	0.9480598826073092	9	GCA_041402165.1_ASM4140216v1_genomic	3.7957073709999998	0.0	False	Q4
GCA_041402185.1_ASM4140218v1_genomic	0.644829679505957	9	GCA_041402185.1_ASM4140218v1_genomic	1.6486305588888888	0.0	False	Q1
