genome	gc	mode	ptr	rep	depth	log2ptr	note	out
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	2	1.0000	1.2233	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	2	2.0000	1.8425	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	2	5.0000	1.8443	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	1	0.5000	0.1585	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	1	1.0000	0.4297	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	1	2.0000	0.3814	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	1	5.0000	0.4682	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	2	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	2	1.0000	0.0430	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	2	2.0000	0.2983	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	0.5000	2	5.0000	0.5369	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr0.5__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	1	0.5000	0.3152	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	1	1.0000	0.4570	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	1	2.0000	0.8928	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	1	5.0000	1.0090	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	2	0.5000	0.2736	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	2	1.0000	0.5814	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k4	1.0000	2	2.0000	0.5156	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k4__g00_Buchnera_aphidicola_Y__ptr1.0__r2__2.0x
