genome	gc	mode	depth	n	failed	r	rmse	slope
g07_Bacillus_atrophaeus	43.5	E_s156	5.0	8	0	0.999	0.021	0.994
g08_Escherichia_coli	50.8	A_k16	0.5	8	0	0.984	0.365	0.714
g08_Escherichia_coli	50.8	A_k2	0.5	8	0	0.957	0.366	0.871
g08_Escherichia_coli	50.8	A_k4	0.5	8	0	0.978	0.289	0.912
g08_Escherichia_coli	50.8	A_k8	0.5	8	0	0.982	0.318	0.856
g08_Escherichia_coli	50.8	E_s106	0.5	8	0	0.965	0.454	0.801
g08_Escherichia_coli	50.8	E_s125	0.5	8	0	0.974	0.396	0.859
g08_Escherichia_coli	50.8	A_k16	1.0	8	0	0.987	0.174	0.922
g08_Escherichia_coli	50.8	A_k2	1.0	8	0	0.996	0.097	0.929
g08_Escherichia_coli	50.8	A_k4	1.0	8	0	0.987	0.139	0.92
g08_Escherichia_coli	50.8	A_k8	1.0	8	0	0.982	0.16	0.895
g08_Escherichia_coli	50.8	E_s106	1.0	8	0	0.999	0.156	0.983
g08_Escherichia_coli	50.8	E_s125	1.0	8	0	0.993	0.155	0.924
g08_Escherichia_coli	50.8	A_k16	2.0	8	0	0.999	0.048	1.014
g08_Escherichia_coli	50.8	A_k2	2.0	8	0	0.996	0.06	1.038
g08_Escherichia_coli	50.8	A_k4	2.0	8	0	0.997	0.045	1.032
g08_Escherichia_coli	50.8	A_k8	2.0	8	0	0.999	0.038	1.025
g08_Escherichia_coli	50.8	E_s106	2.0	8	0	0.999	0.045	0.997
g08_Escherichia_coli	50.8	E_s125	2.0	8	0	0.998	0.053	0.994
g08_Escherichia_coli	50.8	A_k16	5.0	8	0	0.999	0.022	1.009
g08_Escherichia_coli	50.8	A_k2	5.0	8	0	0.999	0.029	0.995
g08_Escherichia_coli	50.8	A_k4	5.0	8	0	0.999	0.025	1.003
g08_Escherichia_coli	50.8	A_k8	5.0	8	0	0.999	0.025	1.015
g08_Escherichia_coli	50.8	E_s106	5.0	8	0	0.999	0.028	1.031
g08_Escherichia_coli	50.8	E_s125	5.0	8	0	0.999	0.026	1.032
g09_Escherichia_sp005843885	50.7	A_k16	0.5	8	0	0.992	0.268	0.813
