species	sample	slope	slope_prox	intercept	n_anchors	r2	median_df
MGYG000001322	S07	-0.438476	0.438476	0.742007	107	0.0343	0.823529
MGYG000001337	S07	-0.318569	0.318569	0.400135	479	0.0152	0.0
MGYG000001345	S07	0.014206	-0.014206	0.721192	1734	0.0	0.846154
MGYG000001346	S07	-0.063792	0.063792	0.912934	1958	0.0026	0.970355
MGYG000001356	S07	-0.087185	0.087185	0.62008	202	0.0009	0.732143
MGYG000001359	S07	-0.131334	0.131334	0.555806	1394	0.003	0.666667
MGYG000001370	S07	-0.52265	0.52265	0.849768	184	0.0366	0.936492
MGYG000001372	S07	0.027267	-0.027267	0.781292	515	0.0002	0.925926
MGYG000001374	S07	0.009475	-0.009475	0.666065	830	0.0	0.8
MGYG000001375	S07	-0.721878	0.721878	0.800674	41	0.0791	0.9
MGYG000001380	S07	0.250305	-0.250305	0.387187	64	0.0065	0.5
MGYG000001389	S07	-0.135473	0.135473	0.16777	134	0.0063	0.0
MGYG000001398	S07	-0.533914	0.533914	0.312346	97	0.0581	0.0
MGYG000001410	S07	-0.140962	0.140962	0.207298	226	0.0051	0.0
MGYG000001422	S07	0.511854	-0.511854	0.562393	305	0.0414	0.857143
MGYG000001429	S07	0.094443	-0.094443	0.298309	791	0.0017	0.333333
MGYG000001461	S07	-0.017952	0.017952	0.797905	75	0.0	0.953488
MGYG000001489	S07	-0.246807	0.246807	0.548453	1244	0.011	0.6
MGYG000001493	S07	-0.115016	0.115016	0.323624	248	0.0023	0.0
MGYG000001500	S07	-0.166709	0.166709	0.479428	462	0.0047	0.5
MGYG000001502	S07	0.067991	-0.067991	0.334839	212	0.0006	0.333333
MGYG000001512	S07	-0.047204	0.047204	0.313601	506	0.0005	0.333333
MGYG000001527	S07	0.57349	-0.57349	0.387608	120	0.0591	0.6
MGYG000001528	S07	-0.130338	0.130338	0.56702	480	0.0034	0.666667
MGYG000001531	S07	-0.533014	0.533014	0.534786	79	0.0442	0.5
MGYG000001546	S07	0.062966	-0.062966	0.593099	424	0.0007	0.732143
MGYG000001547	S07	-0.409251	0.409251	0.692155	65	0.0203	0.75
MGYG000001551	S07	0.558706	-0.558706	0.271575	481	0.0289	0.5
MGYG000001552	S07	-0.047564	0.047564	0.640543	60	0.0005	0.690476
MGYG000001556	S07	0.077018	-0.077018	0.318353	222	0.0011	0.333333
MGYG000001562	S07	-0.062407	0.062407	0.543848	456	0.0006	0.666667
MGYG000001565	S07	-0.120727	0.120727	0.588231	615	0.0025	0.666667
MGYG000001576	S07	-0.021821	0.021821	0.461064	512	0.0001	0.5
MGYG000001589	S07	-0.145511	0.145511	0.158737	52	0.0083	0.0
MGYG000001626	S07	-0.358517	0.358517	0.896629	34	0.0406	0.95744
MGYG000001627	S07	-0.115886	0.115886	0.47732	636	0.0022	0.5
MGYG000001655	S07	0.031382	-0.031382	0.737914	100	0.0003	0.863354
MGYG000001663	S07	-0.304739	0.304739	0.691971	62	0.0136	0.763889
MGYG000001698	S07	0.025344	-0.025344	0.624825	24	0.0001	0.816667
MGYG000001763	S07	-0.230282	0.230282	0.338772	155	0.0091	0.0
MGYG000001783	S07	0.112104	-0.112104	0.63082	53	0.0013	0.866667
MGYG000001793	S07	-0.480437	0.480437	0.719509	25	0.0123	0.714286
MGYG000001925	S07	0.527558	-0.527558	0.51505	32	0.0315	0.857843
MGYG000001931	S07	0.616722	-0.616722	0.471204	72	0.0262	0.690476
MGYG000001965	S07	0.032354	-0.032354	0.774347	31	0.0002	0.894737
MGYG000001983	S07	0.091063	-0.091063	0.467045	82	0.0013	0.5
MGYG000002007	S07	-0.02864	0.02864	0.672783	195	0.0001	0.8125
MGYG000002040	S07	-0.082868	0.082868	0.581632	687	0.0011	0.666667
MGYG000002056	S07	-0.158339	0.158339	0.829179	66	0.0056	0.921296
MGYG000002060	S07	-0.105501	0.105501	0.327624	503	0.0023	0.333333
MGYG000002080	S07	0.132565	-0.132565	0.602184	329	0.0022	0.9
MGYG000002082	S07	-0.327801	0.327801	0.709663	146	0.0198	0.75
MGYG000002143	S07	0.072415	-0.072415	0.528066	69	0.0008	0.714286
MGYG000002152	S07	-0.808403	0.808403	0.542123	49	0.0766	0.333333
MGYG000002203	S07	0.029233	-0.029233	0.6447	145	0.0002	0.777778
MGYG000002224	S07	-0.025995	0.025995	0.724971	129	0.0001	0.904762
MGYG000002271	S07	-0.376804	0.376804	0.55045	203	0.0173	0.5
MGYG000002272	S07	-0.061822	0.061822	0.816769	1580	0.001	0.931034
MGYG000002277	S07	0.03263	-0.03263	0.585251	75	0.0001	0.818182
MGYG000002278	S07	-0.082362	0.082362	0.581999	718	0.0013	0.666667
MGYG000002280	S07	-0.713217	0.713217	0.556353	261	0.069	0.333333
MGYG000002282	S07	-0.035817	0.035817	0.260783	800	0.0003	0.0
MGYG000002285	S07	-0.355917	0.355917	0.620926	191	0.0165	0.666667
MGYG000002286	S07	-0.125612	0.125612	0.64749	488	0.0034	0.720779
MGYG000002287	S07	-0.037238	0.037238	0.526689	1469	0.0002	0.666667
MGYG000002292	S07	0.077274	-0.077274	0.728809	1025	0.0014	0.875
MGYG000002295	S07	-0.657302	0.657302	0.859172	81	0.0672	0.909091
MGYG000002298	S07	-0.11929	0.11929	0.534341	866	0.0028	0.6
MGYG000002300	S07	0.049884	-0.049884	0.757675	130	0.0004	0.944444
MGYG000002303	S07	0.067725	-0.067725	0.772954	169	0.0013	0.931034
MGYG000002340	S07	-0.243665	0.243665	0.452455	478	0.0112	0.5
MGYG000002371	S07	-0.095267	0.095267	0.26198	468	0.0021	0.0
MGYG000002394	S07	-0.277455	0.277455	0.586359	191	0.0075	0.666667
MGYG000002396	S07	-0.023676	0.023676	0.110922	66	0.0002	0.0
MGYG000002438	S07	0.016006	-0.016006	0.826578	1637	0.0001	0.931818
MGYG000002448	S07	0.227624	-0.227624	0.427033	386	0.0087	0.6
MGYG000002453	S07	0.104324	-0.104324	0.131002	118	0.0033	0.0
MGYG000002470	S07	-0.076265	0.076265	0.534741	1265	0.001	0.6
MGYG000002480	S07	-0.157558	0.157558	0.192398	162	0.0087	0.0
MGYG000002483	S07	0.43952	-0.43952	0.545059	131	0.0295	0.857143
MGYG000002487	S07	0.091122	-0.091122	0.152481	84	0.0024	0.0
MGYG000002515	S07	-0.139056	0.139056	0.388553	240	0.0041	0.5
MGYG000002517	S07	0.135781	-0.135781	0.550435	1156	0.0032	0.666667
MGYG000002545	S07	-0.09796	0.09796	0.711882	1466	0.0017	0.833333
MGYG000002549	S07	-0.108335	0.108335	0.85583	1669	0.004	0.934426
MGYG000002556	S07	-0.479678	0.479678	0.363553	207	0.0302	0.0
MGYG000002560	S07	0.232912	-0.232912	0.687148	48	0.0096	0.946429
MGYG000002585	S07	-0.016729	0.016729	0.675493	74	0.0	0.886752
MGYG000002603	S07	-0.37358	0.37358	0.791651	268	0.0207	0.969432
MGYG000002609	S07	-0.222777	0.222777	0.31381	25	0.0077	0.0
MGYG000002616	S07	0.024788	-0.024788	0.87676	970	0.0003	0.966102
MGYG000002617	S07	0.04639	-0.04639	0.482206	371	0.0004	0.6
MGYG000002619	S07	0.037968	-0.037968	0.724344	693	0.0003	0.903226
MGYG000002621	S07	-0.439319	0.439319	0.859939	47	0.0529	0.925926
MGYG000002640	S07	0.068646	-0.068646	0.152614	38	0.0023	0.0
MGYG000002670	S07	-0.211846	0.211846	0.818696	315	0.0091	0.921053
MGYG000002675	S07	-0.336788	0.336788	0.669436	34	0.0164	0.763889
MGYG000002682	S07	0.393265	-0.393265	0.370407	69	0.0133	0.666667
MGYG000002689	S07	0.146171	-0.146171	0.477704	593	0.0039	0.666667
MGYG000002691	S07	-0.248174	0.248174	0.503641	420	0.0103	0.5
MGYG000002696	S07	-0.374762	0.374762	0.587613	29	0.0184	0.5
MGYG000002697	S07	-0.136648	0.136648	0.196563	197	0.0062	0.0
MGYG000002704	S07	-0.113577	0.113577	0.518263	98	0.0017	0.5
MGYG000002707	S07	0.378529	-0.378529	0.08607	110	0.0309	0.0
MGYG000002710	S07	0.117554	-0.117554	0.507033	53	0.002	0.666667
MGYG000002711	S07	-0.077771	0.077771	0.141663	125	0.0024	0.0
MGYG000002715	S07	-0.131316	0.131316	0.514434	710	0.003	0.5
MGYG000002720	S07	-1.102312	1.102312	0.742486	69	0.1277	0.75
MGYG000002724	S07	0.246382	-0.246382	0.474534	99	0.0069	0.666667
MGYG000002727	S07	-0.097896	0.097896	0.390184	62	0.0017	0.366667
MGYG000002773	S07	-0.083808	0.083808	0.781815	137	0.0014	0.923077
MGYG000002779	S07	0.032246	-0.032246	0.135149	235	0.0003	0.0
MGYG000002780	S07	-0.02726	0.02726	0.313568	231	0.0001	0.0
MGYG000002838	S07	0.27774	-0.27774	0.183337	67	0.0096	0.0
MGYG000002840	S07	-0.49123	0.49123	0.425407	24	0.023	0.333333
MGYG000002882	S07	0.303019	-0.303019	0.372589	113	0.0151	0.5
MGYG000002926	S07	-0.219954	0.219954	0.413717	231	0.0093	0.5
MGYG000002933	S07	-0.692299	0.692299	0.819805	31	0.0384	0.7
MGYG000002974	S07	0.412486	-0.412486	0.279843	44	0.0312	0.5
MGYG000002993	S07	-0.139557	0.139557	0.360156	578	0.0041	0.333333
MGYG000003019	S07	0.252186	-0.252186	0.570082	80	0.0087	0.8
MGYG000003097	S07	-0.418539	0.418539	0.85818	126	0.0444	0.959592
MGYG000003224	S07	-0.116341	0.116341	0.207261	282	0.0042	0.0
MGYG000003481	S07	-0.068167	0.068167	0.321609	24	0.0009	0.166667
MGYG000003552	S07	-0.136317	0.136317	0.881875	353	0.0048	0.974138
MGYG000003656	S07	-0.113793	0.113793	0.329406	712	0.0026	0.333333
MGYG000003662	S07	-0.500007	0.500007	0.716246	38	0.0362	0.75
MGYG000003681	S07	-0.099152	0.099152	0.745313	1586	0.0021	0.864251
MGYG000003693	S07	0.181679	-0.181679	0.831917	1115	0.0124	0.972222
MGYG000003694	S07	-0.092553	0.092553	0.88491	989	0.0036	0.956204
MGYG000003695	S07	0.089608	-0.089608	0.408346	201	0.001	0.5
MGYG000003701	S07	-0.486533	0.486533	0.793373	242	0.0426	0.857143
MGYG000003702	S07	-0.759535	0.759535	0.488719	432	0.0848	0.0
MGYG000003768	S07	-0.492969	0.492969	0.306304	41	0.0746	0.0
MGYG000003874	S07	-0.064118	0.064118	0.181094	154	0.0013	0.0
MGYG000003899	S07	-0.014424	0.014424	0.698187	1138	0.0	0.823529
MGYG000003921	S07	-0.020933	0.020933	0.54887	197	0.0001	0.666667
MGYG000003925	S07	0.000905	-0.000905	0.290055	298	0.0	0.333333
MGYG000003942	S07	-0.237011	0.237011	0.572926	47	0.012	0.6
MGYG000003948	S07	0.179521	-0.179521	0.648889	28	0.0048	0.828571
MGYG000003977	S07	-0.48041	0.48041	0.738179	49	0.0418	0.75
MGYG000003993	S07	-0.591301	0.591301	1.006524	20	0.2267	0.896429
MGYG000004004	S07	-0.234078	0.234078	0.658115	51	0.012	0.714286
MGYG000004006	S07	-0.111607	0.111607	0.732707	160	0.0018	0.851648
MGYG000004019	S07	-0.78018	0.78018	0.884408	77	0.0726	0.954545
MGYG000004071	S07	-0.310867	0.310867	0.547424	62	0.0188	0.535714
MGYG000004083	S07	0.093646	-0.093646	0.204177	431	0.0023	0.0
MGYG000004105	S07	-0.866182	0.866182	0.854179	33	0.0514	0.818182
MGYG000004114	S07	-0.224939	0.224939	0.323434	311	0.0093	0.0
MGYG000004140	S07	-0.587482	0.587482	0.745343	141	0.0576	0.714286
MGYG000004165	S07	0.104523	-0.104523	0.475651	731	0.0018	0.625
MGYG000004172	S07	-0.224651	0.224651	0.747295	27	0.0067	0.857143
MGYG000004180	S07	0.10661	-0.10661	0.706174	353	0.0019	0.882353
MGYG000004188	S07	-0.016236	0.016236	0.638602	59	0.0	0.857143
MGYG000004189	S07	-0.40531	0.40531	0.270292	87	0.0382	0.0
MGYG000004196	S07	-0.282545	0.282545	0.415103	172	0.0163	0.333333
MGYG000004241	S07	-0.03757	0.03757	0.611149	23	0.0002	0.75
MGYG000004248	S07	-0.123233	0.123233	0.234349	221	0.0032	0.0
MGYG000004276	S07	-0.067564	0.067564	0.530924	866	0.0008	0.6
MGYG000004317	S07	-0.066452	0.066452	0.833335	390	0.0017	0.917793
MGYG000004329	S07	0.346494	-0.346494	0.56036	23	0.0253	0.777778
MGYG000004350	S07	0.121908	-0.121908	0.787856	54	0.0076	0.919459
MGYG000004369	S07	-0.753704	0.753704	0.657546	34	0.0576	0.666667
MGYG000004414	S07	-0.71259	0.71259	0.829365	42	0.0652	0.90389
MGYG000004479	S07	0.322128	-0.322128	0.666633	102	0.0186	0.941176
MGYG000004482	S07	-0.112134	0.112134	0.597659	349	0.0018	0.714286
MGYG000004526	S07	-0.116856	0.116856	0.633957	1475	0.0024	0.714286
MGYG000004582	S07	-0.100541	0.100541	0.649771	403	0.0021	0.75
MGYG000004663	S07	0.037011	-0.037011	0.152216	112	0.0004	0.0
MGYG000004676	S07	0.354143	-0.354143	0.676429	22	0.0249	0.932028
MGYG000004719	S07	-0.118294	0.118294	0.751232	35	0.0016	0.94
MGYG000004732	S07	-0.496081	0.496081	0.650723	39	0.042	0.666667
MGYG000004740	S07	0.511088	-0.511088	0.511252	92	0.0237	0.75
MGYG000004748	S07	-0.567667	0.567667	0.886889	74	0.0643	0.890873
MGYG000004763	S07	0.479428	-0.479428	0.445936	29	0.0172	0.75
MGYG000004769	S07	-0.007795	0.007795	0.859153	944	0.0	0.954545
MGYG000004784	S07	-0.173782	0.173782	0.52247	354	0.005	0.5
MGYG000004824	S07	-0.18334	0.18334	0.787716	27	0.0053	0.888889
MGYG000004831	S07	-0.265214	0.265214	0.586543	119	0.0108	0.666667
MGYG000004836	S07	-0.137658	0.137658	0.29971	73	0.0047	0.0
MGYG000004866	S07	-0.03616	0.03616	0.507812	172	0.0002	0.5
MGYG000004876	S07	-0.155154	0.155154	0.647071	112	0.0037	0.690476
MGYG000004885	S07	0.32548	-0.32548	0.73642	20	0.0288	0.856818
