genome	gc	mode	ptr	rep	depth	log2ptr	note
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	1	0.5000	0.7849	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	1	1.0000	0.9460	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	1	2.0000	0.9581	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	1	5.0000	0.9868	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	2	0.5000	0.7906	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	2	1.0000	0.9529	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	2	2.0000	0.9329	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.0000	2	5.0000	1.0239	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	1	0.5000	1.1366	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	1	1.0000	1.4090	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	1	2.0000	1.5197	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	1	5.0000	1.4744	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	2	0.5000	1.0668	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	2	1.0000	1.3775	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	2	2.0000	1.4356	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	1.5000	2	5.0000	1.4974	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	1	0.5000	1.5069	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	1	1.0000	1.9005	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	1	2.0000	1.9499	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	1	5.0000	1.9712	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	2	0.5000	1.6844	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	2	1.0000	1.7967	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	2	2.0000	1.9476	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	2.0000	2	5.0000	1.9301	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	1	0.5000	0.3297	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	1	1.0000	0.3160	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	1	2.0000	0.4465	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	1	5.0000	0.4773	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	2	0.5000	0.5202	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	2	1.0000	0.4934	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	2	2.0000	0.4992	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	0.5000	2	5.0000	0.4814	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	1	0.5000	0.7428	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	1	1.0000	0.8132	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	1	2.0000	0.9602	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	1	5.0000	1.0019	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	2	0.5000	0.6418	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	2	1.0000	0.8793	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	2	2.0000	0.9243	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.0000	2	5.0000	1.0007	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	1	0.5000	1.1519	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	1	1.0000	1.3902	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	1	2.0000	1.4524	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	1	5.0000	1.4537	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	2	0.5000	1.0888	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	2	1.0000	1.4311	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	2	2.0000	1.4806	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	1.5000	2	5.0000	1.5040	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	1	0.5000	1.4391	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	1	1.0000	1.7739	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	1	2.0000	2.0198	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	1	5.0000	2.0011	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	2	0.5000	1.4280	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	2	1.0000	1.8618	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	2	2.0000	1.9299	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s103	2.0000	2	5.0000	1.9621	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	1	0.5000	0.3513	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	1	1.0000	0.3981	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	1	2.0000	0.4693	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	1	5.0000	0.4803	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	2	0.5000	0.5462	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	2	1.0000	0.4934	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	2	2.0000	0.5096	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	0.5000	2	5.0000	0.4864	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	1	0.5000	0.6631	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	1	1.0000	0.7962	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	1	2.0000	0.9557	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	1	5.0000	1.0058	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	2	0.5000	0.7070	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	2	1.0000	0.9341	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	2	2.0000	0.9306	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.0000	2	5.0000	1.0079	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	1	0.5000	1.1633	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	1	1.0000	1.3845	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	1	2.0000	1.4789	ok
g13_Pseudomonas_aeruginosa	65.3000	E_s134	1.5000	1	5.0000	1.4553	ok
