genome	gc	arm	cond	ptr	rep	depth	log2ptr	coverage	note
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	2.0000	1	1.0000	1.7748	0.8324	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	2.0000	1	5.0000	1.9566	4.0521	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	2.0000	2	1.0000	1.8250	0.8068	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	2.0000	2	5.0000	1.9494	4.0659	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	0.5000	1	1.0000	0.3160	0.8036	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	0.5000	1	5.0000	0.4773	3.9992	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	0.5000	2	1.0000	0.4934	0.7962	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	0.5000	2	5.0000	0.4814	3.9984	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	1.0000	1	1.0000	0.8132	0.8032	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	1.0000	1	5.0000	1.0019	3.9951	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	1.0000	2	1.0000	0.8793	0.8042	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	1.0000	2	5.0000	1.0007	3.9905	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	2.0000	1	1.0000	1.7739	0.8005	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	2.0000	1	5.0000	2.0011	3.9724	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	2.0000	2	1.0000	1.8618	0.8075	ok
g13_Pseudomonas_aeruginosa	65.3000	sketch	complete	2.0000	2	5.0000	1.9621	3.9911	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	0.5000	1	1.0000	0.2207	0.8997	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	0.5000	1	5.0000	0.1704	4.0431	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	0.5000	2	1.0000	0.1415	0.9856	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	0.5000	2	5.0000	0.1745	4.0678	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	1.0000	1	1.0000	0.1367	0.9286	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	1.0000	1	5.0000	0.3304	4.0084	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	1.0000	2	1.0000	0.3899	0.9126	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	frag	1.0000	2	5.0000	0.3712	3.9763	ok
