flag_config	arm	medium	cov	log2ptr	growth_rate	pred
without_windows	A_k16	M2	10.0000	1.6179	1.5100	1.6844
without_windows	A_k16	M2	1.0000	1.4290	1.5100	1.6844
without_windows	A_k16	M2	2.0000	1.4784	1.5100	1.6844
without_windows	A_k16	M2	5.0000	1.5291	1.5100	1.6844
without_windows	A_k16	M3	0.5000	0.5195	1.4380	1.4630
without_windows	A_k16	M3	10.0000	1.5340	1.4380	1.4630
without_windows	A_k16	M3	1.0000	1.2416	1.4380	1.4630
without_windows	A_k16	M3	2.0000	1.3115	1.4380	1.4630
without_windows	A_k16	M3	5.0000	1.4748	1.4380	1.4630
without_windows	A_k16	M4	0.5000	0.8939	1.3718	1.5315
without_windows	A_k16	M4	10.0000	1.5175	1.3718	1.5315
without_windows	A_k16	M4	1.0000	1.1393	1.3718	1.5315
without_windows	A_k16	M4	2.0000	1.1010	1.3718	1.5315
without_windows	A_k16	M4	5.0000	1.3080	1.3718	1.5315
without_windows	A_k16	M6	0.5000	0.6861	1.3549	1.3298
without_windows	A_k16	M6	10.0000	1.3578	1.3549	1.3298
without_windows	A_k16	M6	1.0000	1.1770	1.3549	1.3298
without_windows	A_k16	M6	2.0000	1.1745	1.3549	1.3298
without_windows	A_k16	M6	5.0000	1.2554	1.3549	1.3298
without_windows	A_k16	RUN_OUT	0.5000	0.3788		
without_windows	A_k16	RUN_OUT	10.0000	0.0388		
without_windows	A_k16	RUN_OUT	1.0000	0.3580		
without_windows	A_k16	RUN_OUT	2.0000	0.1523		
without_windows	A_k16	RUN_OUT	5.0000	0.0762		
without_windows	E_s104	M10	0.5000		1.1500	1.2108
without_windows	E_s104	M10	10.0000	1.2494	1.1500	1.2108
without_windows	E_s104	M10	1.0000	0.7839	1.1500	1.2108
without_windows	E_s104	M10	2.0000	1.0092	1.1500	1.2108
without_windows	E_s104	M10	5.0000	1.1723	1.1500	1.2108
without_windows	E_s104	M12	0.5000	0.2813	1.0220	1.1568
without_windows	E_s104	M12	10.0000	1.1735	1.0220	1.1568
without_windows	E_s104	M12	1.0000	1.1225	1.0220	1.1568
without_windows	E_s104	M12	2.0000	0.8425	1.0220	1.1568
without_windows	E_s104	M12	5.0000	1.0949	1.0220	1.1568
without_windows	E_s104	M13	0.5000		0.8612	1.0326
without_windows	E_s104	M13	10.0000	1.0146	0.8612	1.0326
without_windows	E_s104	M13	1.0000	0.7485	0.8612	1.0326
without_windows	E_s104	M13	2.0000	0.7910	0.8612	1.0326
without_windows	E_s104	M13	5.0000	0.9770	0.8612	1.0326
without_windows	E_s104	M17	0.5000	0.3570	0.7440	0.7020
without_windows	E_s104	M17	10.0000	0.6881	0.7440	0.7020
without_windows	E_s104	M17	1.0000	0.7333	0.7440	0.7020
without_windows	E_s104	M17	2.0000	0.5297	0.7440	0.7020
without_windows	E_s104	M17	5.0000	0.6683	0.7440	0.7020
